INSTRUMENTID,TRADEFEERATIO,TTRADEFEERATIO,COMMODITYDELIVFEEUNIT,SPECLONGMARGINRATIO,HEDGLONGMARGINRATIO,COMMODITYDELIVFEERATIO,PRODUCTID,PRODUCTNAME,TTRADEFEEUNIT,TRADEFEEUNIT,HEDGSHORTMARGINRATIO,SETTLEMENTPRICE,UNIDIRECT,SPECSHORTMARGINRATIO,ISUNITODAY,trade_date
ec2608,0.6,0.3,0,0.2,0.2,0.02,ec_f,SCFIS欧线,0,0,0.2,1405.1,1,0.2,0,20251010
cu2510,0.05,0.025,0,0.2,0.2,0,cu_f,铜,0,0,0.2,84900,1,0.2,0,20251013
cu2511,0.05,0.025,0,0.1,0.1,0,cu_f,铜,0,0,0.1,84810,1,0.1,0,20251013
cu2512,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,84890,1,0.09,0,20251013
cu2601,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,84840,1,0.09,0,20251013
cu2602,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,84840,1,0.09,0,20251013
cu2603,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85000,1,0.09,0,20251013
cu2604,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85080,1,0.09,0,20251013
cu2605,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85420,1,0.09,0,20251013
cu2606,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,84990,1,0.09,0,20251013
cu2607,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85020,1,0.09,0,20251013
cu2608,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,85030,1,0.09,0,20251013
cu2609,0.05,0.025,0,0.09,0.08,0,cu_f,铜,0,0,0.08,84920,1,0.09,0,20251013
bc2510,0.01,0.005,0,0.2,0.2,0,bc_f,铜(BC),0,0,0.2,75030,1,0.2,0,20251013
bc2511,0.01,0.005,0,0.1,0.1,0,bc_f,铜(BC),0,0,0.1,75420,1,0.1,0,20251013
bc2512,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75700,1,0.09,0,20251013
bc2601,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75730,1,0.09,0,20251013
bc2602,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,76660,1,0.09,0,20251013
bc2603,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,76740,1,0.09,0,20251013
bc2604,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,76740,1,0.09,0,20251013
bc2605,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75900,1,0.09,0,20251013
bc2606,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75880,1,0.09,0,20251013
bc2607,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,76850,1,0.09,0,20251013
bc2608,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,75800,1,0.09,0,20251013
bc2609,0.01,0.005,0,0.09,0.08,0,bc_f,铜(BC),0,0,0.08,76130,1,0.09,0,20251013
al2510,0,0,0,0.2,0.2,0,al_f,铝,1.5,3,0.2,20855,1,0.2,0,20251013
al2511,0,0,0,0.1,0.1,0,al_f,铝,1.5,3,0.1,20860,1,0.1,0,20251013
al2512,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20870,1,0.09,0,20251013
al2601,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20865,1,0.09,0,20251013
al2602,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20875,1,0.09,0,20251013
al2603,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20900,1,0.09,0,20251013
al2604,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20910,1,0.09,0,20251013
al2605,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20920,1,0.09,0,20251013
al2606,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20935,1,0.09,0,20251013
al2607,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20945,1,0.09,0,20251013
al2608,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20905,1,0.09,0,20251013
al2609,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,20970,1,0.09,0,20251013
zn2510,0,0,0,0.2,0.2,0,zn_f,锌,1.5,3,0.2,22220,1,0.2,0,20251013
zn2511,0,0,0,0.1,0.1,0,zn_f,锌,1.5,3,0.1,22285,1,0.1,0,20251013
zn2512,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22310,1,0.09,0,20251013
zn2601,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22335,1,0.09,0,20251013
zn2602,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22350,1,0.09,0,20251013
zn2603,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22370,1,0.09,0,20251013
zn2604,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22390,1,0.09,0,20251013
zn2605,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22430,1,0.09,0,20251013
zn2606,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22420,1,0.09,0,20251013
zn2607,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22435,1,0.09,0,20251013
zn2608,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22460,1,0.09,0,20251013
zn2609,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22490,1,0.09,0,20251013
pb2510,0.04,0.02,0,0.2,0.2,0,pb_f,铅,0,0,0.2,17110,1,0.2,0,20251013
pb2511,0.04,0.02,0,0.1,0.1,0,pb_f,铅,0,0,0.1,17155,1,0.1,0,20251013
pb2512,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17160,1,0.09,0,20251013
pb2601,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17145,1,0.09,0,20251013
pb2602,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17150,1,0.09,0,20251013
pb2603,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17170,1,0.09,0,20251013
pb2604,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17300,1,0.09,0,20251013
pb2605,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17190,1,0.09,0,20251013
pb2606,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17200,1,0.09,0,20251013
pb2607,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17175,1,0.09,0,20251013
pb2608,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17195,1,0.09,0,20251013
pb2609,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17235,1,0.09,0,20251013
ni2510,0,0,0,0.2,0.2,0,ni_f,镍,1.5,3,0.2,121270,1,0.2,0,20251013
ni2511,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,121650,1,0.12,0,20251013
ni2512,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,121790,1,0.12,0,20251013
ni2601,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,122050,1,0.12,0,20251013
ni2602,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,122160,1,0.12,0,20251013
ni2603,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,122400,1,0.12,0,20251013
ni2604,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,122570,1,0.12,0,20251013
ni2605,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,122990,1,0.12,0,20251013
ni2606,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,123150,1,0.12,0,20251013
ni2607,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,123230,1,0.12,0,20251013
ni2608,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,123580,1,0.12,0,20251013
ni2609,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,123920,1,0.12,0,20251013
sn2510,0,0,0,0.2,0.2,0,sn_f,锡,1.5,3,0.2,282760,1,0.2,0,20251013
sn2511,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,283550,1,0.12,0,20251013
sn2512,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,283610,1,0.12,0,20251013
sn2601,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,283460,1,0.12,0,20251013
sn2602,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,283290,1,0.12,0,20251013
sn2603,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,283900,1,0.12,0,20251013
sn2604,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,283870,1,0.12,0,20251013
sn2605,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,283660,1,0.12,0,20251013
sn2606,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,282530,1,0.12,0,20251013
sn2607,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,283050,1,0.12,0,20251013
sn2608,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,283690,1,0.12,0,20251013
sn2609,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,284540,1,0.12,0,20251013
ao2510,0.1,0.05,0,0.2,0.2,0,ao_f,氧化铝,0,0,0.2,2782,1,0.2,0,20251013
ao2511,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2798,1,0.11,0,20251013
ao2512,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2816,1,0.11,0,20251013
ao2601,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2825,1,0.11,0,20251013
ao2602,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2842,1,0.11,0,20251013
ao2603,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2913,1,0.11,0,20251013
ao2604,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2925,1,0.11,0,20251013
ao2605,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2933,1,0.11,0,20251013
ao2606,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2941,1,0.11,0,20251013
ao2607,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2952,1,0.11,0,20251013
ao2608,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2969,1,0.11,0,20251013
ao2609,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2986,1,0.11,0,20251013
ad2511,0.1,0.05,0,0.1,0.1,0,ad_f,铸造铝合金,0,0,0.1,20360,1,0.1,0,20251013
ad2512,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20385,1,0.07,0,20251013
ad2601,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20455,1,0.07,0,20251013
ad2602,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20475,1,0.07,0,20251013
ad2603,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20515,1,0.07,0,20251013
ad2604,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20535,1,0.07,0,20251013
ad2605,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20445,1,0.07,0,20251013
ad2606,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20415,1,0.07,0,20251013
ad2607,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20510,1,0.07,0,20251013
ad2608,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20495,1,0.07,0,20251013
ad2609,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20410,1,0.07,0,20251013
au2510,0,0,0,0.2,0.2,0,au_f,黄金,10,20,0.2,917.92,1,0.2,0,20251013
au2511,0,0,0,0.14,0.13,0,au_f,黄金,10,20,0.13,912.52,1,0.14,0,20251013
au2512,0,0,0,0.14,0.13,0,au_f,黄金,10,20,0.13,914.3,1,0.14,0,20251013
au2602,0,0,0,0.14,0.13,0,au_f,黄金,5,10,0.13,917.5,1,0.14,0,20251013
au2604,0,0,0,0.14,0.13,0,au_f,黄金,5,10,0.13,920.14,1,0.14,0,20251013
au2606,0,0,0,0.14,0.13,0,au_f,黄金,10,20,0.13,923.4,1,0.14,0,20251013
au2608,0,0,0,0.14,0.13,0,au_f,黄金,5,10,0.13,928.54,1,0.14,0,20251013
au2610,0,0,0,0.14,0.13,0,au_f,黄金,5,10,0.13,931.62,1,0.14,0,20251013
ag2510,0.05,0.025,0,0.2,0.2,0,ag_f,白银,0,0,0.2,11261,1,0.2,0,20251013
ag2511,0.05,0.025,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11233,1,0.14,0,20251013
ag2512,0.05,0.025,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11236,1,0.14,0,20251013
ag2601,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11240,1,0.14,0,20251013
ag2602,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11266,1,0.14,0,20251013
ag2603,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11298,1,0.14,0,20251013
ag2604,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11311,1,0.14,0,20251013
ag2605,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11296,1,0.14,0,20251013
ag2606,0.05,0.025,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11320,1,0.14,0,20251013
ag2607,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11321,1,0.14,0,20251013
ag2608,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11303,1,0.14,0,20251013
ag2609,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11362,1,0.14,0,20251013
rb2510,0.1,0.05,0,0.2,0.2,0,rb_f,螺纹钢,0,0,0.2,2998,1,0.2,0,20251013
rb2511,0.1,0.05,0,0.1,0.1,0,rb_f,螺纹钢,0,0,0.1,3021,1,0.1,0,20251013
rb2512,0.1,0.05,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3068,1,0.07,0,20251013
rb2601,0.1,0.05,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3086,1,0.07,0,20251013
rb2602,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3091,1,0.07,0,20251013
rb2603,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3112,1,0.07,0,20251013
rb2604,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3133,1,0.07,0,20251013
rb2605,0.1,0.05,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3140,1,0.07,0,20251013
rb2606,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3151,1,0.07,0,20251013
rb2607,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3166,1,0.07,0,20251013
rb2608,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3176,1,0.07,0,20251013
rb2609,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3178,1,0.07,0,20251013
wr2510,0.04,0.02,0,0.2,0.2,0,wr_f,线材,0,0,0.2,3069,1,0.2,0,20251013
wr2511,0.04,0.02,0,0.1,0.1,0,wr_f,线材,0,0,0.1,3270,1,0.1,0,20251013
wr2512,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3309,1,0.09,0,20251013
wr2601,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3351,1,0.09,0,20251013
wr2602,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3384,1,0.09,0,20251013
wr2603,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3361,1,0.09,0,20251013
wr2604,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3369,1,0.09,0,20251013
wr2605,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3353,1,0.09,0,20251013
wr2606,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3360,1,0.09,0,20251013
wr2607,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3390,1,0.09,0,20251013
wr2608,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3431,1,0.09,0,20251013
wr2609,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3430,1,0.09,0,20251013
hc2510,0.1,0.05,0,0.2,0.2,0,hc_f,热轧卷板,0,0,0.2,3417,1,0.2,0,20251013
hc2511,0.1,0.05,0,0.1,0.1,0,hc_f,热轧卷板,0,0,0.1,3304,1,0.1,0,20251013
hc2512,0.1,0.05,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3285,1,0.07,0,20251013
hc2601,0.1,0.05,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3264,1,0.07,0,20251013
hc2602,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3281,1,0.07,0,20251013
hc2603,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3274,1,0.07,0,20251013
hc2604,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3278,1,0.07,0,20251013
hc2605,0.1,0.05,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3274,1,0.07,0,20251013
hc2606,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3277,1,0.07,0,20251013
hc2607,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3278,1,0.07,0,20251013
hc2608,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3295,1,0.07,0,20251013
hc2609,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3293,1,0.07,0,20251013
ss2510,0,0,0,0.2,0.2,0,ss_f,不锈钢,1,2,0.2,12535,1,0.2,0,20251013
ss2511,0,0,0,0.1,0.1,0,ss_f,不锈钢,1,2,0.1,12675,1,0.1,0,20251013
ss2512,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,12685,1,0.07,0,20251013
ss2601,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,12775,1,0.07,0,20251013
ss2602,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,12820,1,0.07,0,20251013
ss2603,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,12895,1,0.07,0,20251013
ss2604,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,12980,1,0.07,0,20251013
ss2605,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13035,1,0.07,0,20251013
ss2606,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13120,1,0.07,0,20251013
ss2607,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13170,1,0.07,0,20251013
ss2608,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13220,1,0.07,0,20251013
ss2609,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13295,1,0.07,0,20251013
sc2511,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,451.5,1,0.11,0,20251013
sc2512,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,453.7,1,0.11,0,20251013
sc2601,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,454.1,1,0.11,0,20251013
sc2602,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,453.8,1,0.11,0,20251013
sc2603,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,454.8,1,0.11,0,20251013
sc2604,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,455.4,1,0.11,0,20251013
sc2605,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,455.9,1,0.11,0,20251013
sc2606,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,453.1,1,0.11,0,20251013
sc2607,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,454.9,1,0.11,0,20251013
sc2608,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,454.1,1,0.11,0,20251013
sc2609,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,454,1,0.11,0,20251013
sc2610,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,449.7,1,0.11,0,20251013
sc2612,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,452.6,1,0.11,0,20251013
sc2703,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,451.6,1,0.11,0,20251013
sc2706,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,450.1,1,0.11,0,20251013
sc2709,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,450.6,1,0.11,0,20251013
sc2712,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,451,1,0.11,0,20251013
sc2803,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,449,1,0.11,0,20251013
sc2806,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,449.9,1,0.11,0,20251013
sc2809,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,451.2,1,0.11,0,20251013
lu2511,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3220,1,0.11,0,20251013
lu2512,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3240,1,0.11,0,20251013
lu2601,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3232,1,0.11,0,20251013
lu2602,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3229,1,0.11,0,20251013
lu2603,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3232,1,0.11,0,20251013
lu2604,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3247,1,0.11,0,20251013
lu2605,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3222,1,0.11,0,20251013
lu2606,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3210,1,0.11,0,20251013
lu2607,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3208,1,0.11,0,20251013
lu2608,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3205,1,0.11,0,20251013
lu2609,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3208,1,0.11,0,20251013
lu2610,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3209,1,0.11,0,20251013
fu2511,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2794,1,0.11,0,20251013
fu2512,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2750,1,0.11,0,20251013
fu2601,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2730,1,0.11,0,20251013
fu2602,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2712,1,0.11,0,20251013
fu2603,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2704,1,0.11,0,20251013
fu2604,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2702,1,0.11,0,20251013
fu2605,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2694,1,0.11,0,20251013
fu2606,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2688,1,0.11,0,20251013
fu2607,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2675,1,0.11,0,20251013
fu2608,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2651,1,0.11,0,20251013
fu2609,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2645,1,0.11,0,20251013
fu2610,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2628,1,0.11,0,20251013
bu2510,0.05,0.025,0,0.2,0.2,0,bu_f,石油沥青,0,0,0.2,3448,1,0.2,0,20251013
bu2511,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3310,1,0.11,0,20251013
bu2512,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3240,1,0.11,0,20251013
bu2601,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3201,1,0.11,0,20251013
bu2602,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3207,1,0.11,0,20251013
bu2603,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3220,1,0.11,0,20251013
bu2604,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3215,1,0.11,0,20251013
bu2605,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3217,1,0.11,0,20251013
bu2606,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3236,1,0.11,0,20251013
bu2607,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3230,1,0.11,0,20251013
bu2608,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3216,1,0.11,0,20251013
bu2609,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3221,1,0.11,0,20251013
bu2612,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3170,1,0.11,0,20251013
bu2703,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3178,1,0.11,0,20251013
bu2706,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3184,1,0.11,0,20251013
bu2709,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3195,1,0.11,0,20251013
br2510,0.02,0.01,0,0.2,0.2,0,br_f,丁二烯橡胶,0,0,0.2,10905,1,0.2,0,20251013
br2511,0.02,0.01,0,0.11,0.1,0,br_f,丁二烯橡胶,0,0,0.1,10935,1,0.11,0,20251013
br2512,0.02,0.01,0,0.11,0.1,0,br_f,丁二烯橡胶,0,0,0.1,10900,1,0.11,0,20251013
br2601,0.02,0.01,0,0.11,0.1,0,br_f,丁二烯橡胶,0,0,0.1,10905,1,0.11,0,20251013
br2602,0.02,0.01,0,0.11,0.1,0,br_f,丁二烯橡胶,0,0,0.1,10895,1,0.11,0,20251013
br2603,0.02,0.01,0,0.11,0.1,0,br_f,丁二烯橡胶,0,0,0.1,10895,1,0.11,0,20251013
br2604,0.02,0.01,0,0.11,0.1,0,br_f,丁二烯橡胶,0,0,0.1,10935,1,0.11,0,20251013
